exclusion_blocks,block_sample_num,excluded_freq
hypoxia,196.0,0.4
growth.wt,66.0,0.4
antitb.other:::antitb.iron.scavenger:::antitb.inhibit.transcription:::antitb.inhibit.respiration:::antitb.inhibit.protein.synthesis:::antitb.inhibit.cell.wall.synthesis:::antitb.DNA.damage:::antitb.aromatic.amides,655.0,0.0
antitb.other:::nitrosative.stress,178.0,0.2
