TF.ChIPSeq.genes
"Rv0022c,Rv0029;Rv0030;Rv0031;Rv0069c;Rv0070c;Rv0095c;Rv0122;Rv0123;Rv0167;Rv0168;Rv0169;Rv0170;Rv0171;Rv0172;Rv0173;Rv0174;Rv0175;Rv0176;Rv0177;Rv0178;Rv0218;Rv0219;Rv0220;Rv0309;Rv0350;Rv0351;Rv0352;Rv0353;Rv0378;Rv0421c;Rv0422c;Rv0423c;Rv0460;Rv0461;Rv0578c;Rv0579;Rv0738;Rv1285;Rv1286;Rv1290c;Rv1308;Rv1309;Rv1310;Rv1311;Rv1312;Rv1329c;Rv1330c;Rv1469;Rv1511;Rv1512;Rv1513;Rv1640c;Rv1646;Rv1795;Rv1796;Rv1797;Rv1798;Rv1904;Rv2026c;Rv2027c;Rv2077A;Rv2078;Rv2079;Rv2080;Rv2109c;Rv2110c;Rv2111c;Rv2173;Rv2174;Rv2238c;Rv2239c;Rv2240c;Rv2409c;Rv2410c;Rv2411c;Rv2631;Rv2654c;Rv2655c;Rv2656c;Rv2657c;Rv2658c;Rv2659c;Rv2796c;Rv2797c;Rv2798c;Rv2799;Rv2800;Rv2819c;Rv2820c;Rv2821c;Rv2822c;Rv2823c;Rv2824c;Rv2930;Rv2931;Rv2932;Rv2933;Rv2934;Rv2935;Rv2936;Rv2937;Rv2938;Rv2943;Rv2943A;Rv2944;Rv3060c;Rv3103c;Rv3104c;Rv3105c;Rv3139;Rv3140;Rv3160c;Rv3161c;Rv3216;Rv3361c;Rv3362c;Rv3363c;Rv3364c;Rv3365c;Rv3450c;Rv3451;Rv3468c;Rv3469c;Rv3492c;Rv3493c;Rv3494c;Rv3495c;Rv3496c;Rv3497c;Rv3498c;Rv3499c;Rv3500c;Rv3501c;Rv3511;Rv3512;Rv3577;Rv3578;Rv3631;Rv3632"
"Rv0023,Rv0002;Rv0003;Rv0004;Rv0005;Rv0006;Rv0055;Rv0056;Rv0057;Rv0058;Rv0096;Rv0097;Rv0098;Rv0099;Rv0100;Rv0101;Rv0113;Rv0114;Rv0115;Rv0145;Rv0147;Rv0167;Rv0168;Rv0169;Rv0170;Rv0171;Rv0172;Rv0173;Rv0174;Rv0175;Rv0176;Rv0177;Rv0178;Rv0229c;Rv0230c;Rv0244c;Rv0245;Rv0258c;Rv0259c;Rv0260c;Rv0268c;Rv0323c;Rv0324;Rv0325;Rv0326;Rv0328;Rv0354c;Rv0363c;Rv0364;Rv0379;Rv0404;Rv0405;Rv0410c;Rv0411c;Rv0412c;Rv0413;Rv0424c;Rv0426c;Rv0456A;Rv0475;Rv0657c;Rv0668;Rv0685;Rv0690c;Rv0691c;Rv0692;Rv0693;Rv0694;Rv0718;Rv0719;Rv0720;Rv0721;Rv0722;Rv0723;Rv0724;Rv0789c;Rv0790c;Rv0791c;Rv0792c;Rv0915c;Rv0916c;Rv0961;Rv1019;Rv1032c;Rv1033c;Rv1044;Rv1045;Rv1052;Rv1056;Rv1075c;Rv1087A;Rv1089A;Rv1090;Rv1091;Rv1115;Rv1116;Rv1129c;Rv1130;Rv1131;Rv1132;Rv1157c;Rv1158c;Rv1159;Rv1168c;Rv1169c;Rv1170;Rv1184c;Rv1203c;Rv1204c;Rv1205;Rv1221;Rv1229c;Rv1230c;Rv1325c;Rv1326c;Rv1327c;Rv1331;Rv1332;Rv1333;Rv1334;Rv1335;Rv1336;Rv1337;Rv1338;Rv1339;Rv1340;Rv1341;Rv1392;Rv1435c;Rv1497;Rv1503c;Rv1504c;Rv1533;Rv1534;Rv1638A;Rv1645c;Rv1702c;Rv1706c;Rv1740;Rv1741;Rv1742;Rv1795;Rv1796;Rv1797;Rv1798;Rv1805c;Rv1827;Rv1828;Rv1843c;Rv1844c;Rv1845c;Rv1846c;Rv1847;Rv1871c;Rv1872c;Rv1873;Rv1874;Rv1875;Rv1882c;Rv1883c;Rv1884c;Rv1885c;Rv1886c;Rv1901;Rv1918c;Rv1936;Rv1937;Rv1938;Rv1939;Rv1940;Rv1941;Rv1952;Rv1953;Rv1954c;Rv1963c;Rv1981c;Rv1986;Rv1994c;Rv1995;Rv2000;Rv2001;Rv2016;Rv2017;Rv2034;Rv2035;Rv2036;Rv2081c;Rv2107;Rv2108;Rv2109c;Rv2110c;Rv2111c;Rv2162c;Rv2243;Rv2254c;Rv2255c;Rv2292c;Rv2293c;Rv2294;Rv2319c;Rv2320c;Rv2321c;Rv2322c;Rv2323c;Rv2412;Rv2452c;Rv2453c;Rv2454c;Rv2455c;Rv2460c;Rv2461c;Rv2462c;Rv2463;Rv2474c;Rv2475c;Rv2476c;Rv2498c;Rv2499c;Rv2500c;Rv2501c;Rv2502c;Rv2503c;Rv2504c;Rv2633c;Rv2640c;Rv2641;Rv2700;Rv2722;Rv2723;Rv2778c;Rv2779c;Rv2780;Rv2879c;Rv2880c;Rv2881c;Rv2882c;Rv2905;Rv2930;Rv2931;Rv2932;Rv2933;Rv2934;Rv2935;Rv2936;Rv2937;Rv2938;Rv2946c;Rv2947c;Rv2948c;Rv2949c;Rv2950c;Rv2967c;Rv2968c;Rv2969c;Rv2990c;Rv2991;Rv3017c;Rv3065;Rv3066;Rv3083;Rv3084;Rv3085;Rv3086;Rv3087;Rv3088;Rv3089;Rv3096;Rv3124;Rv3142c;Rv3143;Rv3145;Rv3146;Rv3147;Rv3148;Rv3149;Rv3150;Rv3151;Rv3176c;Rv3177;Rv3179;Rv3216;Rv3230c;Rv3236c;Rv3237c;Rv3238c;Rv3249c;Rv3250c;Rv3251c;Rv3252c;Rv3269;Rv3270;Rv3277;Rv3288c;Rv3289c;Rv3290c;Rv3322c;Rv3323c;Rv3324c;Rv3350c;Rv3439c;Rv3440c;Rv3492c;Rv3493c;Rv3494c;Rv3495c;Rv3496c;Rv3497c;Rv3498c;Rv3499c;Rv3500c;Rv3501c;Rv3508;Rv3525c;Rv3526;Rv3527;Rv3532;Rv3573c;Rv3574;Rv3597c;Rv3631;Rv3632;Rv3645;Rv3738c;Rv3743c;Rv3744;Rv3770c;Rv3862c;Rv3865;Rv3866;Rv3867;Rv3868;Rv3869;Rv3870;Rv3876;Rv3877;Rv3890c;Rv3891c"
"Rv0042c,Rv0112;Rv0830;Rv3477;Rv3478;Rv3738c"
"Rv0043c,Rv3755c;Rv3756c;Rv3757c;Rv3758c;Rv3759c;Rv3760"
"Rv0047c,Rv0002;Rv0003;Rv0004;Rv0005;Rv0006;Rv0046c;Rv0047c;Rv0055;Rv0056;Rv0057;Rv0058;Rv0059;Rv0060;Rv0074;Rv0075;Rv0081;Rv0082;Rv0083;Rv0084;Rv0085;Rv0086;Rv0087;Rv0088;Rv0096;Rv0097;Rv0098;Rv0099;Rv0100;Rv0101;Rv0143c;Rv0147;Rv0148;Rv0149;Rv0151c;Rv0152c;Rv0161;Rv0167;Rv0168;Rv0169;Rv0170;Rv0171;Rv0172;Rv0173;Rv0174;Rv0175;Rv0176;Rv0177;Rv0178;Rv0198c;Rv0204c;Rv0205;Rv0229c;Rv0230c;Rv0239;Rv0240;Rv0244c;Rv0245;Rv0247c;Rv0248c;Rv0249c;Rv0262c;Rv0263c;Rv0264c;Rv0268c;Rv0282;Rv0283;Rv0284;Rv0285;Rv0286;Rv0300;Rv0301;Rv0306;Rv0327c;Rv0344c;Rv0345;Rv0456A;Rv0457c;Rv0460;Rv0461;Rv0464c;Rv0465c;Rv0470A;Rv0470c;Rv0475;Rv0492c;Rv0493c;Rv0496;Rv0497;Rv0498;Rv0499;Rv0500;Rv0503c;Rv0504c;Rv0505c;Rv0506;Rv0507;Rv0508;Rv0523c;Rv0524;Rv0525;Rv0526;Rv0527;Rv0528;Rv0529;Rv0572c;Rv0610c;Rv0611c;Rv0645c;Rv0657c;Rv0682;Rv0683;Rv0685;Rv0686;Rv0718;Rv0719;Rv0720;Rv0721;Rv0722;Rv0723;Rv0724;Rv0770;Rv0771;Rv0772;Rv0780;Rv0781;Rv0782;Rv0800;Rv0801;Rv0824c;Rv0834c;Rv0835;Rv0947c;Rv0948c;Rv0961;Rv0986;Rv0987;Rv0988;Rv1044;Rv1045;Rv1077;Rv1081c;Rv1082;Rv1083;Rv1084;Rv1106c;Rv1107c;Rv1108c;Rv1109c;Rv1113;Rv1114;Rv1161;Rv1162;Rv1163;Rv1164;Rv1165;Rv1175c;Rv1176c;Rv1180;Rv1184c;Rv1203c;Rv1204c;Rv1205;Rv1222;Rv1243c;Rv1244;Rv1248c;Rv1277;Rv1278;Rv1279;Rv1314c;Rv1315;Rv1331;Rv1332;Rv1333;Rv1334;Rv1335;Rv1336;Rv1337;Rv1338;Rv1339;Rv1340;Rv1341;Rv1390;Rv1391;Rv1441c;Rv1442;Rv1474c;Rv1475c;Rv1477;Rv1478;Rv1492;Rv1493;Rv1494;Rv1495;Rv1496;Rv1507c;Rv1509;Rv1519;Rv1520;Rv1521;Rv1532c;Rv1533;Rv1534;Rv1557;Rv1558;Rv1559;Rv1560;Rv1561;Rv1636;Rv1666c;Rv1667c;Rv1668c;Rv1704c;Rv1728c;Rv1729c;Rv1795;Rv1796;Rv1797;Rv1798;Rv1799;Rv1810;Rv1811;Rv1817;Rv1830;Rv1833c;Rv1834;Rv1835c;Rv1836c;Rv1838c;Rv1839c;Rv1841c;Rv1842c;Rv1861;Rv1878;Rv1879;Rv1882c;Rv1883c;Rv1884c;Rv1885c;Rv1886c;Rv1952;Rv1953;Rv1963c;Rv1964;Rv1965;Rv1966;Rv1967;Rv1968;Rv1969;Rv1970;Rv1971;Rv1972;Rv1973;Rv1974;Rv1975;Rv1983;Rv1985c;Rv1989c;Rv2016;Rv2017;Rv2077c;Rv2098c;Rv2099c;Rv2100;Rv2108;Rv2135c;Rv2136c;Rv2137c;Rv2138;Rv2163c;Rv2164c;Rv2165c;Rv2166c;Rv2194;Rv2195;Rv2196;Rv2199c;Rv2200c;Rv2242;Rv2243;Rv2256c;Rv2307A;Rv2319c;Rv2320c;Rv2321c;Rv2322c;Rv2323c;Rv2336;Rv2347c;Rv2409c;Rv2410c;Rv2411c;Rv2416c;Rv2428;Rv2429;Rv2452c;Rv2453c;Rv2454c;Rv2455c;Rv2456c;Rv2457c;Rv2472;Rv2473;Rv2491;Rv2492;Rv2525c;Rv2549c;Rv2550c;Rv2562;Rv2563;Rv2564;Rv2583c;Rv2584c;Rv2597;Rv2598;Rv2599;Rv2675c;Rv2676c;Rv2677c;Rv2678c;Rv2683;Rv2684;Rv2691;Rv2692;Rv2712c;Rv2713;Rv2722;Rv2723;Rv2729c;Rv2730;Rv2731;Rv2742c;Rv2746c;Rv2747;Rv2757c;Rv2758c;Rv2759c;Rv2760c;Rv2761c;Rv2762c;Rv2777c;Rv2786c;Rv2787;Rv2809;Rv2888c;Rv2889c;Rv2890c;Rv2952;Rv2953;Rv2958c;Rv2962c;Rv2963;Rv2971;Rv2999;Rv3007c;Rv3011c;Rv3012c;Rv3013;Rv3028c;Rv3029c;Rv3052c;Rv3053c;Rv3057c;Rv3064c;Rv3110;Rv3111;Rv3112;Rv3124;Rv3136;Rv3142c;Rv3143;Rv3180c;Rv3181c;Rv3198A;Rv3205c;Rv3206c;Rv3221c;Rv3231c;Rv3232c;Rv3233c;Rv3234c;Rv3236c;Rv3237c;Rv3238c;Rv3239c;Rv3249c;Rv3250c;Rv3251c;Rv3252c;Rv3269;Rv3270;Rv3272;Rv3273;Rv3343c;Rv3406;Rv3407;Rv3408;Rv3409c;Rv3413c;Rv3414c;Rv3415c;Rv3416;Rv3419c;Rv3420c;Rv3421c;Rv3422c;Rv3423c;Rv3425;Rv3426;Rv3429;Rv3432c;Rv3433c;Rv3434c;Rv3435c;Rv3441c;Rv3477;Rv3478;Rv3492c;Rv3493c;Rv3494c;Rv3495c;Rv3496c;Rv3497c;Rv3498c;Rv3499c;Rv3500c;Rv3501c;Rv3508;Rv3509c;Rv3510c;Rv3525c;Rv3526;Rv3527;Rv3528c;Rv3534c;Rv3535c;Rv3536c;Rv3588c;Rv3594;Rv3605c;Rv3606c;Rv3607c;Rv3608c;Rv3609c;Rv3610c;Rv3611;Rv3624c;Rv3625c;Rv3626c;Rv3627c;Rv3654c;Rv3655c;Rv3656c;Rv3657c;Rv3658c;Rv3659c;Rv3660c;Rv3668c;Rv3706c;Rv3738c;Rv3740c;Rv3741c;Rv3742c;Rv3746c;Rv3747;Rv3762c;Rv3766;Rv3770c;Rv3779;Rv3780;Rv3781;Rv3782;Rv3783;Rv3810;Rv3811;Rv3824c;Rv3827c;Rv3828c;Rv3829c;Rv3832c;Rv3833;Rv3872;Rv3873;Rv3880c;Rv3881c;Rv3908;Rv3909;Rv3910;Rv3911;Rv3912;Rv3916c;Rv3921c;Rv3922c;Rv3923c;Rv3924c"
"Rv0054,Rv1870c;Rv3461c;Rv3462c;Rv3463;Rv3581c;Rv3582c;Rv3583c"
"Rv0067c,Rv0067c;Rv0068;Rv2107"
"Rv0078,Rv0077c;Rv0078"
"Rv0081,Rv0032;Rv0033;Rv0034;Rv0035;Rv0043c;Rv0044c;Rv0045c;Rv0047c;Rv0055;Rv0056;Rv0057;Rv0058;Rv0074;Rv0075;Rv0076c;Rv0081;Rv0082;Rv0083;Rv0084;Rv0085;Rv0086;Rv0087;Rv0088;Rv0096;Rv0097;Rv0098;Rv0099;Rv0100;Rv0101;Rv0113;Rv0114;Rv0115;Rv0145;Rv0165c;Rv0166;Rv0167;Rv0168;Rv0169;Rv0170;Rv0171;Rv0172;Rv0173;Rv0174;Rv0175;Rv0176;Rv0177;Rv0178;Rv0179c;Rv0188;Rv0196;Rv0197;Rv0207c;Rv0208c;Rv0214;Rv0218;Rv0219;Rv0220;Rv0229c;Rv0230c;Rv0239;Rv0240;Rv0268c;Rv0287;Rv0288;Rv0289;Rv0293c;Rv0294;Rv0305c;Rv0306;Rv0318c;Rv0319;Rv0320;Rv0321;Rv0323c;Rv0324;Rv0325;Rv0326;Rv0331;Rv0341;Rv0342;Rv0343;Rv0347;Rv0348;Rv0349;Rv0350;Rv0351;Rv0352;Rv0353;Rv0354c;Rv0363c;Rv0388c;Rv0389;Rv0390;Rv0391;Rv0397;Rv0402c;Rv0403c;Rv0404;Rv0405;Rv0410c;Rv0411c;Rv0412c;Rv0413;Rv0424c;Rv0426c;Rv0456A;Rv0467;Rv0474;Rv0475;Rv0476;Rv0477;Rv0478;Rv0479c;Rv0480c;Rv0492c;Rv0493c;Rv0494;Rv0500A;Rv0503c;Rv0504c;Rv0505c;Rv0506;Rv0507;Rv0508;Rv0520;Rv0521;Rv0544c;Rv0545c;Rv0568;Rv0576;Rv0577;Rv0578c;Rv0579;Rv0608;Rv0609;Rv0609A;Rv0653c;Rv0654;Rv0655;Rv0657c;Rv0668;Rv0672;Rv0673;Rv0674;Rv0675;Rv0676c;Rv0677c;Rv0685;Rv0687;Rv0688;Rv0695;Rv0705;Rv0706;Rv0707;Rv0708;Rv0709;Rv0710;Rv0718;Rv0719;Rv0720;Rv0721;Rv0722;Rv0723;Rv0724;Rv0729;Rv0730;Rv0741;Rv0743c;Rv0744c;Rv0747;Rv0756c;Rv0757;Rv0789c;Rv0790c;Rv0791c;Rv0792c;Rv0793;Rv0820;Rv0821c;Rv0830;Rv0837c;Rv0909;Rv0910;Rv0915c;Rv0916c;Rv0931c;Rv0932c;Rv0933;Rv0934;Rv0951;Rv0952;Rv0963c;Rv0965c;Rv0966c;Rv0967;Rv0989c;Rv0997;Rv0998;Rv0999;Rv1013;Rv1032c;Rv1033c;Rv1039c;Rv1047;Rv1048c;Rv1075c;Rv1089A;Rv1090;Rv1113;Rv1114;Rv1116;Rv1117;Rv1129c;Rv1130;Rv1131;Rv1132;Rv1141c;Rv1157c;Rv1158c;Rv1159;Rv1161;Rv1162;Rv1180;Rv1189;Rv1190;Rv1192;Rv1193;Rv1198;Rv1203c;Rv1204c;Rv1205;Rv1206;Rv1221;Rv1229c;Rv1230c;Rv1246c;Rv1247c;Rv1248c;Rv1255c;Rv1256c;Rv1265;Rv1268c;Rv1290A;Rv1298;Rv1302;Rv1305;Rv1306;Rv1307;Rv1308;Rv1309;Rv1310;Rv1311;Rv1312;Rv1313c;Rv1316c;Rv1317c;Rv1319c;Rv1320c;Rv1321;Rv1322;Rv1331;Rv1332;Rv1333;Rv1334;Rv1335;Rv1336;Rv1337;Rv1338;Rv1339;Rv1340;Rv1341;Rv1342c;Rv1343c;Rv1360;Rv1361c;Rv1366;Rv1374c;Rv1386;Rv1387;Rv1403c;Rv1404;Rv1405c;Rv1406;Rv1407;Rv1408;Rv1409;Rv1424c;Rv1425;Rv1435c;Rv1441c;Rv1442;Rv1460;Rv1461;Rv1462;Rv1463;Rv1464;Rv1465;Rv1466;Rv1470;Rv1471;Rv1472;Rv1473;Rv1482c;Rv1491c;Rv1507c;Rv1509;Rv1523;Rv1524;Rv1532c;Rv1533;Rv1534;Rv1535;Rv1566c;Rv1585c;Rv1586c;Rv1587c;Rv1588c;Rv1589;Rv1590;Rv1591;Rv1645c;Rv1646;Rv1652;Rv1653;Rv1654;Rv1655;Rv1656;Rv1657;Rv1658;Rv1665;Rv1672c;Rv1673c;Rv1674c;Rv1687c;Rv1688;Rv1689;Rv1690;Rv1691;Rv1692;Rv1693;Rv1694;Rv1695;Rv1696;Rv1780;Rv1785c;Rv1791;Rv1792;Rv1793;Rv1802;Rv1804c;Rv1805c;Rv1810;Rv1811;Rv1814;Rv1829;Rv1863c;Rv1864c;Rv1865c;Rv1874;Rv1875;Rv1878;Rv1879;Rv1880c;Rv1902c;Rv1920;Rv1926c;Rv1936;Rv1937;Rv1938;Rv1939;Rv1940;Rv1941;Rv1963c;Rv1964;Rv1965;Rv1966;Rv1967;Rv1968;Rv1969;Rv1970;Rv1971;Rv1972;Rv1973;Rv1974;Rv1975;Rv1985c;Rv1986;Rv1990c;Rv1994c;Rv1995;Rv2009;Rv2010;Rv2012;Rv2034;Rv2035;Rv2036;Rv2044c;Rv2055c;Rv2056c;Rv2057c;Rv2058c;Rv2059;Rv2060;Rv2093c;Rv2094c;Rv2100;Rv2107;Rv2108;Rv2115c;Rv2116;Rv2117;Rv2131c;Rv2132;Rv2137c;Rv2146c;Rv2147c;Rv2148c;Rv2149c;Rv2150c;Rv2161c;Rv2162c;Rv2172c;Rv2173;Rv2174;Rv2193;Rv2194;Rv2195;Rv2196;Rv2202c;Rv2203;Rv2222c;Rv2242;Rv2243;Rv2256c;Rv2267c;Rv2268c;Rv2269c;Rv2282c;Rv2283;Rv2284;Rv2285;Rv2287;Rv2288;Rv2289;Rv2292c;Rv2293c;Rv2302;Rv2307A;Rv2307B;Rv2307c;Rv2307D;Rv2312;Rv2319c;Rv2320c;Rv2321c;Rv2322c;Rv2323c;Rv2343c;Rv2344c;Rv2346c;Rv2347c;Rv2348c;Rv2358;Rv2359;Rv2365c;Rv2366c;Rv2367c;Rv2368c;Rv2369c;Rv2370c;Rv2377c;Rv2378c;Rv2379c;Rv2380c;Rv2387;Rv2391;Rv2392;Rv2393;Rv2394;Rv2412;Rv2430c;Rv2431c;Rv2432c;Rv2433c;Rv2434c;Rv2435c;Rv2452c;Rv2453c;Rv2454c;Rv2455c;Rv2462c;Rv2463;Rv2505c;Rv2506;Rv2516c;Rv2517c;Rv2525c;Rv2526;Rv2527;Rv2530A;Rv2530c;Rv2531c;Rv2532c;Rv2533c;Rv2534c;Rv2535c;Rv2536;Rv2549c;Rv2550c;Rv2551c;Rv2552c;Rv2553c;Rv2554c;Rv2555c;Rv2560;Rv2562;Rv2563;Rv2564;Rv2588c;Rv2589;Rv2590;Rv2592c;Rv2593c;Rv2594c;Rv2595;Rv2596;Rv2617c;Rv2633c;Rv2638;Rv2642;Rv2643;Rv2645;Rv2646;Rv2665;Rv2666;Rv2667;Rv2712c;Rv2713;Rv2720;Rv2722;Rv2723;Rv2724c;Rv2729c;Rv2730;Rv2731;Rv2737A;Rv2742c;Rv2743c;Rv2744c;Rv2778c;Rv2779c;Rv2780;Rv2789c;Rv2790c;Rv2791c;Rv2792c;Rv2807;Rv2808;Rv2809;Rv2826c;Rv2827c;Rv2877c;Rv2878c;Rv2888c;Rv2889c;Rv2890c;Rv2939;Rv2946c;Rv2947c;Rv2948c;Rv2949c;Rv2950c;Rv2971;Rv2990c;Rv2991;Rv3005c;Rv3007c;Rv3008;Rv3017c;Rv3018A;Rv3019c;Rv3020c;Rv3022c;Rv3023c;Rv3048c;Rv3054c;Rv3055;Rv3056;Rv3065;Rv3066;Rv3075c;Rv3076;Rv3077;Rv3078;Rv3096;Rv3110;Rv3111;Rv3112;Rv3115;Rv3124;Rv3136;Rv3139;Rv3140;Rv3142c;Rv3143;Rv3144c;Rv3145;Rv3146;Rv3147;Rv3148;Rv3149;Rv3150;Rv3151;Rv3162c;Rv3163c;Rv3164c;Rv3165c;Rv3166c;Rv3179;Rv3180c;Rv3181c;Rv3191c;Rv3239c;Rv3244c;Rv3245c;Rv3248c;Rv3249c;Rv3250c;Rv3251c;Rv3252c;Rv3260c;Rv3269;Rv3270;Rv3277;Rv3288c;Rv3289c;Rv3290c;Rv3322c;Rv3323c;Rv3324c;Rv3335c;Rv3336c;Rv3348;Rv3370c;Rv3371;Rv3376;Rv3382c;Rv3383c;Rv3396c;Rv3397c;Rv3398c;Rv3399;Rv3406;Rv3407;Rv3408;Rv3413c;Rv3414c;Rv3415c;Rv3425;Rv3429;Rv3441c;Rv3477;Rv3478;Rv3492c;Rv3493c;Rv3494c;Rv3495c;Rv3496c;Rv3497c;Rv3498c;Rv3499c;Rv3500c;Rv3501c;Rv3502c;Rv3503c;Rv3513c;Rv3514;Rv3526;Rv3527;Rv3528c;Rv3540c;Rv3541c;Rv3542c;Rv3543c;Rv3544c;Rv3545c;Rv3546;Rv3547;Rv3553;Rv3554;Rv3566c;Rv3567c;Rv3568c;Rv3569c;Rv3570c;Rv3571;Rv3572;Rv3574;Rv3581c;Rv3582c;Rv3583c;Rv3612c;Rv3613c;Rv3619c;Rv3620c;Rv3631;Rv3632;Rv3660c;Rv3661;Rv3673c;Rv3674c;Rv3675;Rv3676;Rv3681c;Rv3706c;Rv3728;Rv3733c;Rv3734c;Rv3738c;Rv3743c;Rv3744;Rv3750c;Rv3760;Rv3770c;Rv3798;Rv3804c;Rv3811;Rv3812;Rv3830c;Rv3831;Rv3844;Rv3845;Rv3848;Rv3849;Rv3858c;Rv3859c;Rv3862c;Rv3874;Rv3875;Rv3876;Rv3877;Rv3880c;Rv3881c;Rv3882c;Rv3883c;Rv3885c;Rv3886c;Rv3887c;Rv3888c;Rv3889c;Rv3899c;Rv3900c;Rv3908;Rv3909;Rv3910;Rv3911;Rv3912;Rv3917c;Rv3918c;Rv3919c;Rv3921c;Rv3922c;Rv3923c;Rv3924c"
"Rv0117,Rv0167;Rv0168;Rv0169;Rv0170;Rv0171;Rv0172;Rv0173;Rv0174;Rv0175;Rv0176;Rv0177;Rv0178;Rv1795;Rv1796;Rv1797;Rv1798"
