exclusion.blocks,block.sample.num
hypoxia,196
growth.wt,66
antitb.other:::antitb.iron.scavenger:::antitb.inhibit.transcription:::antitb.inhibit.respiration:::antitb.inhibit.protein.synthesis:::antitb.inhibit.cell.wall.synthesis:::antitb.DNA.damage:::antitb.aromatic.amides,655
